Symbol,Date,Open,High,Low,Close,Volume
AACBR,12-Mar-2026,0.3781,0.38,0.3781,0.38,3100
AACBU,12-Mar-2026,10.7,10.7001,10.65,10.7,700
AACG,12-Mar-2026,0.9759,0.976,0.9492,0.975,6700
AACIU,12-Mar-2026,9.98,9.98,9.9601,9.98,3800
AACOU,12-Mar-2026,9.93,9.94,9.93,9.94,800
AADR,12-Mar-2026,85.12,86.059,83.7654,83.7654,2800
AAEQ,12-Mar-2026,47.6322,47.6322,47.6322,47.6322,100
AAL,12-Mar-2026,10.73,10.83,10.51,10.55,112427400
AALG,12-Mar-2026,8.05,8.18,7.75,7.8284,62500
AAME,12-Mar-2026,2.83,2.83,2.63,2.79,4600
AAOI,12-Mar-2026,115.53,116.91,104.98,106.19,15398400
AAON,12-Mar-2026,90.14,90.83,86.28,87.06,762000
AAPB,12-Mar-2026,28.12,28.205,27.4,27.6438,52600
AAPD,12-Mar-2026,13.76,13.985,13.75,13.9067,11172500
AAPG,12-Mar-2026,23.99,24,23.99,24,1000
AAPL,12-Mar-2026,258.66,258.95,254.18,255.76,40794000
AAPU,12-Mar-2026,29.56,29.5819,28.55,28.89,1180300
AARD,12-Mar-2026,5.25,5.44,5.1,5.26,283900
AAUS,12-Mar-2026,53.6692,53.6692,53.6692,53.6692,100
AAVM,12-Mar-2026,31.3523,31.3523,31.3523,31.3523,100
AAXJ,12-Mar-2026,99.3,99.36,97.42,97.58,824300
ABAT,12-Mar-2026,3.41,3.445,3.285,3.42,4255800
ABCL,12-Mar-2026,3.62,3.62,3.4198,3.47,5122900
ABCS,12-Mar-2026,29.98,29.98,29.574,29.574,3000
ABEO,12-Mar-2026,4.94,4.96,4.795,4.955,1096500
ABI,12-Mar-2026,24.85,24.85,24.84,24.84,100
ABIG,12-Mar-2026,30.25,30.25,29.9612,29.9612,2100
ABLV,12-Mar-2026,0.66,0.73,0.65,0.69,2000
ABLVW,12-Mar-2026,0.0197,0.0197,0.0197,0.0197,700
ABNB,12-Mar-2026,132.45,133.24,126.115,127.7,4474200
ABNG,12-Mar-2026,16.04,16.049,14.9304,15.2765,1400
ABOS,12-Mar-2026,3.33,3.361,3.0878,3.3,282300
ABSI,12-Mar-2026,2.41,2.43,2.24,2.3,3222800
ABTC,12-Mar-2026,1.11,1.125,1.03,1.05,21952500
ABTS,12-Mar-2026,2.8,2.955,2.8,2.87,27900
ABUS,12-Mar-2026,4.64,4.7,4.205,4.32,3990100
ABVC,12-Mar-2026,1.42,1.42,1.31,1.37,53200
ABVE,12-Mar-2026,1.26,1.33,1.22,1.25,1319100
ABVEW,12-Mar-2026,0.335,0.43,0.335,0.43,9600
ABVX,12-Mar-2026,120.24,122.23,111,116.98,2295900
ACAAU,12-Mar-2026,10.1,10.12,10.1,10.12,400
ACAD,12-Mar-2026,21.54,21.81,21.19,21.27,1350900
ACB,12-Mar-2026,3.56,3.61,3.51,3.51,387200
ACCL,12-Mar-2026,1.54,1.58,1.51,1.54,23400
ACDC,12-Mar-2026,5.94,7.47,5.84,6.96,3460600
ACEP,12-Mar-2026,17.24,17.24,17.1751,17.1751,100
ACET,12-Mar-2026,7.41,7.4375,6.97,7.04,86300
ACFN,12-Mar-2026,20.12,20.12,18.895,19.3,17400
ACGL,12-Mar-2026,93.91,95.365,93.26,94.22,2142900
ACGLN,12-Mar-2026,17.19,17.28,17.06,17.21,96200
ACGLO,12-Mar-2026,20.48,20.52,20.38,20.5,19700
ACHC,12-Mar-2026,23.87,25.05,23.6001,24.145,4340800
ACHV,12-Mar-2026,4.25,4.37,4.1,4.14,530900
ACIC,12-Mar-2026,11.01,11.38,11.01,11.3,171500
ACIU,12-Mar-2026,3.03,3.26,2.9975,3,336300
ACIW,12-Mar-2026,40.96,41.92,40.32,40.43,821500
ACLS,12-Mar-2026,84.59,86.57,83.775,85.18,632300
ACLX,12-Mar-2026,114.36,114.38,114.26,114.29,1535500
ACMR,12-Mar-2026,46.63,46.6406,44.375,45.27,1179300
ACNB,12-Mar-2026,46.06,46.74,45.74,46.53,71900
ACNT,12-Mar-2026,12.61,13.22,12.36,12.91,148000
ACOG,12-Mar-2026,5.89,5.89,5.75,5.85,38200
ACON,12-Mar-2026,3.45,3.45,3.31,3.33,44300
ACONW,12-Mar-2026,0.0382,0.0459,0.037,0.0399,8200
ACRS,12-Mar-2026,3.53,3.62,3.39,3.51,1190400
ACRV,12-Mar-2026,1.59,1.6357,1.5717,1.61,412800
ACT,12-Mar-2026,39.91,40.7,39.82,40.56,357900
ACTG,12-Mar-2026,5.05,5.13,4.67,4.87,897800
ACTU,12-Mar-2026,2.45,2.59,2.33,2.55,139200
ACWI,12-Mar-2026,141.79,141.79,140.41,140.45,14277200
ACWX,12-Mar-2026,69.53,69.56,68.555,68.81,11062800
ACXP,12-Mar-2026,5.24,5.56,4.46,5.01,6595600
ADAC.OB,12-Mar-2026,9.92,9.92,9.92,9.92,100
ADAG,12-Mar-2026,3.55,3.8,3.4114,3.56,100100
ADAM,12-Mar-2026,7.91,8.06,7.87,7.91,597000
ADAMG,12-Mar-2026,25.37,25.37,25.3,25.33,9100
ADAMH,12-Mar-2026,25.84,25.84,25.64,25.64,28900
ADAMI,12-Mar-2026,25.3501,25.41,25.2901,25.3001,7100
ADAML,12-Mar-2026,23.5701,23.65,23.5701,23.6,1800
ADAMM,12-Mar-2026,25.47,25.55,25.3,25.36,15900
ADAMN,12-Mar-2026,22.46,22.61,22.29,22.35,9400
ADAMO,12-Mar-2026,25.24,25.31,25.17,25.29,28200
ADAMZ,12-Mar-2026,19.72,19.72,19.51,19.605,2400
ADBE,12-Mar-2026,273.35,276.28,269.2,269.78,10894900
